,id,segment_id,time_slot,visit_count
385,650,61,13100072400000000,1
386,651,51,13100072400000000,1
387,653,121,13100158800000000,1
388,655,5,13100158800000000,116
389,657,77,13100158800000000,4
390,658,1,13100158800000000,2
391,659,48,13100158800000000,3
392,665,161,13100158800000000,1
393,672,48,13100245200000000,2
394,674,41,13100245200000000,1
395,675,179,13100245200000000,1
396,676,20,13100245200000000,2
397,677,172,13100245200000000,1
398,678,128,13100245200000000,1
399,679,161,13100245200000000,1
400,681,45,13100331600000000,2
401,682,121,13100331600000000,1
402,684,5,13100331600000000,2
403,686,48,13100331600000000,5
404,687,128,13100331600000000,1
405,688,20,13100331600000000,1
406,689,179,13100331600000000,1
407,690,1,13100331600000000,1
408,691,46,13100331600000000,1
409,692,206,13100331600000000,1
410,693,1,13100418000000000,3
411,695,48,13100418000000000,6
412,697,41,13100418000000000,2
413,698,207,13100418000000000,1
414,699,46,13100418000000000,3
415,700,5,13100418000000000,1
416,701,128,13100504400000000,1
417,702,48,13100504400000000,5
418,706,5,13100504400000000,1
419,707,5,13100590800000000,3
420,708,179,13100590800000000,1
421,709,48,13100590800000000,9
422,711,1,13100590800000000,2
423,713,135,13100590800000000,1
424,714,207,13100590800000000,1
425,715,50,13100590800000000,4
426,717,1,13100677200000000,2
427,718,5,13100677200000000,1
428,719,121,13100677200000000,1
429,720,48,13100677200000000,4
430,721,46,13100677200000000,4
431,724,179,13100677200000000,1
432,725,213,13100677200000000,1
433,726,41,13100677200000000,2
434,727,63,13100677200000000,1
435,728,45,13100677200000000,2
436,730,121,13100763600000000,1
437,731,135,13100763600000000,1
438,733,216,13100763600000000,1
439,735,48,13100763600000000,5
440,736,41,13100763600000000,1
441,737,5,13100763600000000,5
442,738,1,13100763600000000,1
443,739,45,13100763600000000,3
444,748,20,13100763600000000,15
445,749,128,13100763600000000,1
446,750,1,13100850000000000,2
447,751,48,13100850000000000,2
448,753,5,13100850000000000,10
449,754,135,13100850000000000,5
450,755,45,13100850000000000,2
451,756,179,13100850000000000,1
452,757,121,13100850000000000,1
453,758,41,13100850000000000,1
454,759,41,13100936400000000,4
455,760,121,13100936400000000,1
456,761,1,13100936400000000,1
457,762,48,13100936400000000,7
458,763,5,13100936400000000,2
459,764,135,13100936400000000,2
460,765,45,13100936400000000,2
461,766,46,13100936400000000,1
462,768,48,13101022800000000,9
463,771,5,13101022800000000,1
464,773,207,13101022800000000,1
465,774,5,13101109200000000,1
466,775,121,13101195600000000,1
467,777,2,13101195600000000,7
468,778,1,13101195600000000,2
469,779,5,13101195600000000,6
470,780,45,13101195600000000,21
471,781,56,13101195600000000,3
472,783,179,13101195600000000,2
473,784,213,13101195600000000,1
474,785,222,13101195600000000,4
475,786,48,13101195600000000,6
476,787,41,13101195600000000,1
477,788,135,13101195600000000,1
478,789,128,13101195600000000,1
479,792,128,13101282000000000,1
480,793,41,13101282000000000,2
481,794,48,13101282000000000,9
482,795,179,13101282000000000,1
483,796,121,13101282000000000,1
484,797,213,13101282000000000,1
485,799,1,13101282000000000,2
486,800,46,13101282000000000,3
487,801,135,13101282000000000,2
488,802,5,13101282000000000,1
489,803,45,13101282000000000,3
490,804,113,13101282000000000,2
491,806,29,13101282000000000,1
492,807,1,13101368400000000,2
493,808,45,13101368400000000,1
494,809,5,13101368400000000,6
495,810,128,13101368400000000,4
496,811,135,13101368400000000,6
497,813,222,13101368400000000,15
498,814,48,13101368400000000,4
499,815,227,13101368400000000,1
500,818,179,13101368400000000,2
501,819,41,13101368400000000,1
502,821,63,13101368400000000,2
503,822,121,13101368400000000,1
504,823,2,13101368400000000,7
505,825,56,13101368400000000,1
506,827,29,13101368400000000,1
507,830,48,13101454800000000,8
508,831,2,13101454800000000,7
509,833,1,13101454800000000,3
510,834,46,13101454800000000,3
511,837,5,13101454800000000,1
512,838,41,13101454800000000,3
513,840,29,13101454800000000,1
514,841,48,13101541200000000,9
515,842,1,13101541200000000,3
516,843,135,13101541200000000,1
517,847,46,13101541200000000,1
518,848,234,13101541200000000,1
519,849,41,13101541200000000,1
520,850,48,13101627600000000,6
521,851,1,13101627600000000,4
522,853,41,13101627600000000,2
523,854,207,13101627600000000,1
524,856,119,13101627600000000,14
525,857,29,13101627600000000,2
526,859,237,13101627600000000,1
527,860,20,13101627600000000,7
528,862,2,13101627600000000,25
529,864,41,13101714000000000,2
530,865,1,13101714000000000,2
531,866,29,13101714000000000,1
532,867,48,13101714000000000,2
533,868,172,13101714000000000,1
534,871,20,13101714000000000,1
535,873,121,13101800400000000,1
536,874,45,13101800400000000,9
537,875,1,13101800400000000,4
538,876,5,13101800400000000,7
539,878,234,13101800400000000,1
540,879,162,13101800400000000,2
541,880,213,13101800400000000,1
542,881,48,13101800400000000,4
543,882,128,13101800400000000,1
544,883,135,13101800400000000,1
545,884,161,13101800400000000,1
546,885,46,13101800400000000,1
547,888,207,13101886800000000,1
548,889,128,13101886800000000,1
549,890,48,13101886800000000,6
550,892,41,13101886800000000,2
551,893,45,13101886800000000,3
552,895,51,13101886800000000,1
553,896,77,13101886800000000,1
554,897,1,13101886800000000,1
555,899,1,13101973200000000,4
556,903,48,13101973200000000,8
557,904,5,13101973200000000,4
558,907,87,13101973200000000,3
559,908,128,13101973200000000,1
560,909,179,13101973200000000,2
561,910,41,13101973200000000,4
562,911,135,13101973200000000,1
563,912,113,13101973200000000,2
564,913,234,13101973200000000,2
565,914,46,13101973200000000,1
566,916,213,13102059600000000,1
567,917,41,13102059600000000,6
568,918,56,13102059600000000,2
569,919,5,13102059600000000,3
570,920,48,13102059600000000,9
571,922,46,13102059600000000,7
572,923,1,13102059600000000,1
573,924,172,13102059600000000,1
574,926,63,13102059600000000,1
575,927,77,13102059600000000,1
576,928,45,13102059600000000,1
577,929,15,13102059600000000,1
578,930,61,13102059600000000,1
579,932,179,13102059600000000,1
580,935,63,13102146000000000,2
581,939,29,13102146000000000,1
582,940,121,13102146000000000,1
583,943,5,13102146000000000,3
584,947,1,13102146000000000,2
585,948,48,13102146000000000,5
586,949,46,13102146000000000,2
587,950,213,13102146000000000,1
588,952,41,13102146000000000,3
589,953,248,13102146000000000,1
590,954,222,13102232400000000,1
591,955,1,13102401600000000,3
592,956,15,13102401600000000,1
593,957,48,13102401600000000,8
594,958,213,13102401600000000,3
595,959,121,13102401600000000,1
596,960,5,13102401600000000,16
597,964,46,13102401600000000,1
598,968,128,13102488000000000,1
599,969,135,13102488000000000,1
600,970,1,13102488000000000,2
601,971,48,13102488000000000,5
602,972,248,13102488000000000,1
603,974,213,13102488000000000,1
604,977,41,13102488000000000,1
605,978,87,13102488000000000,2
606,980,20,13102488000000000,2
607,981,121,13102574400000000,1
608,982,128,13102574400000000,1
609,983,46,13102574400000000,1
610,985,48,13102574400000000,3
611,986,56,13102574400000000,3
612,987,5,13102574400000000,1
613,988,255,13102574400000000,2
614,990,5,13102660800000000,2
615,991,121,13102660800000000,1
616,992,46,13102660800000000,3
617,993,128,13102660800000000,3
618,994,248,13102660800000000,2
619,995,48,13102660800000000,3
620,997,41,13102660800000000,1
621,998,257,13102747200000000,1
622,1001,5,13102747200000000,5
623,1003,128,13102747200000000,2
624,1004,56,13102747200000000,3
625,1005,63,13102747200000000,1
626,1006,135,13102747200000000,1
627,1008,46,13102747200000000,1
628,1009,41,13102747200000000,1
629,1010,48,13102833600000000,12
630,1011,41,13102833600000000,4
631,1012,46,13102833600000000,1
632,1013,1,13102833600000000,1
633,1014,15,13102833600000000,2
634,1015,207,13102833600000000,1
635,1016,29,13102833600000000,1
636,1017,261,13102920000000000,1
637,1018,29,13102920000000000,1
638,1019,48,13102920000000000,11
639,1020,41,13102920000000000,6
640,1021,5,13102920000000000,1
641,1029,56,13103006400000000,2
642,1030,121,13103006400000000,1
643,1031,5,13103006400000000,4
644,1034,46,13103006400000000,1
645,1035,41,13103006400000000,3
646,1036,128,13103006400000000,1
647,1037,1,13103006400000000,2
648,1038,48,13103006400000000,6
649,1040,41,13103092800000000,3
650,1041,128,13103092800000000,4
651,1042,135,13103092800000000,1
652,1043,5,13103092800000000,4
653,1045,51,13103092800000000,1
654,1046,56,13103092800000000,5
655,1047,248,13103092800000000,1
656,1049,48,13103092800000000,5
657,1050,269,13103092800000000,1
658,1053,63,13103092800000000,1
659,1054,1,13103179200000000,1
660,1055,29,13103179200000000,1
661,1056,48,13103179200000000,3
662,1057,56,13103179200000000,1
663,1058,41,13103179200000000,3
664,1060,261,13103179200000000,1
665,1063,1,13103265600000000,1
666,1064,5,13103265600000000,1
667,1066,20,13103265600000000,4
668,1068,276,13103265600000000,2
669,1069,113,13103265600000000,1
670,1070,48,13103265600000000,2
671,1072,56,13103265600000000,1
672,1073,46,13103265600000000,2
673,1074,213,13103352000000000,5
674,1075,41,13103352000000000,2
675,1076,121,13103352000000000,1
676,1077,1,13103352000000000,1
677,1079,48,13103438400000000,5
678,1080,41,13103438400000000,6
679,1081,1,13103438400000000,1
680,1082,227,13103438400000000,2
681,1083,48,13103524800000000,14
682,1084,41,13103524800000000,8
683,1085,56,13103524800000000,20
684,1086,45,13103524800000000,1
685,1087,29,13103524800000000,1
686,1088,135,13103524800000000,1
687,1089,5,13103524800000000,1
688,1093,1,13103524800000000,1
689,1094,1,13103611200000000,1
690,1095,5,13103611200000000,2
691,1096,121,13103611200000000,1
692,1097,15,13103611200000000,1
693,1098,248,13103611200000000,3
694,1099,46,13103611200000000,3
695,1100,48,13103611200000000,2
696,1101,41,13103611200000000,2
697,1106,48,13103697600000000,7
698,1107,248,13103697600000000,1
699,1108,5,13103697600000000,1
700,1109,1,13103697600000000,1
701,1110,261,13103697600000000,1
702,1111,121,13103784000000000,1
703,1112,48,13103784000000000,12
704,1114,5,13103784000000000,2
705,1116,20,13103784000000000,2
706,1118,261,13103784000000000,1
707,1119,213,13103870400000000,1
708,1120,121,13103870400000000,1
709,1121,48,13103870400000000,3
710,1122,1,13103870400000000,1
711,1123,29,13103870400000000,2
712,1124,20,13103870400000000,2
713,1131,41,13103870400000000,1
714,1133,5,13103870400000000,2
715,1134,135,13103870400000000,2
716,1135,2,13103870400000000,4
717,1138,121,13103956800000000,1
718,1139,5,13103956800000000,3
719,1140,135,13103956800000000,1
720,1141,213,13103956800000000,3
721,1142,48,13103956800000000,12
722,1143,41,13103956800000000,2
723,1144,2,13103956800000000,9
724,1145,46,13103956800000000,1
725,1146,1,13103956800000000,1
726,1147,261,13103956800000000,1
727,1148,41,13104043200000000,12
728,1149,48,13104043200000000,2
729,1153,29,13104043200000000,2
730,1154,56,13104043200000000,1
